text,account_age,posting_frequency,label,split,source
PA-PRE ORDER NA PO NG Special Hopia FOR TOMORROW! Diolyn's Bakery 🤭 limited lang po ang bilog kaya bilisan!,376,3.89,0,train,synthetic_emoji_giveaway_fix
"Need emergency cash? Borrow up to ₱100,000 with our app — no credit check required! bit.ly/earn4247.",16,17.89,1,train,real
Earn $50 weekly just by watching ads and completing surveys! Register: bit.ly/earn7286.,34,8.96,1,train,real
"Grabe ang dami scam ngayon, ingat kayo, wag niyo bigyan ng OTP kahit sino, kahit kilala niyo. Wag kayo padala ha.",23,12.26,0,val,synthetic_supplement
"Sis, yung PNB nag-send ng verification code for a ₱1,000 transfer. Kailangan ko yung code para ma-approve. Pa-help.",17,1.49,1,train,real
Kumikita na ang mga kasama ko ng $50 daily sa crypto trading. Gusto mo matuto? DM me or click: tinyurl.com/free6915.,3,7.19,1,test,real
"Selling my pre-loved phone case, ₱3,000. Meet-up lang sa Alaminos, no COD po sorry. Ganun talaga.",1991,2.7,0,train,synthetic_supplement
Pag-IBIG payout is ready! I-claim ang P10000 dito sa link na ito: gcash-rewards-ph.net,2,12.79,1,train,real
Ang daming deadline this week. Sana matapos ko lahat on time!,299,2.38,0,test,real
Nag-shopping kami ng mama para sa holiday preparations.,1333,2.88,0,train,real
"Mga lods, nag-lunch kami ng family. Needed that break today. Need ko talaga ng rest after that.",552,0.27,0,train,real
"Honestly, nag-try ako ng bagong recipe. Ang simple ng araw pero okay lang. Nakakatuwa rin pala yung ganitong routine.",1894,2.47,0,test,real
Ang init ng panahon ngayon! Gusto ko mag swimming ☀️🏖️,1807,15.3,0,val,real
"Attention po! If you want mobile earning app, they claim you can unlock a bonus after three referrals. send your details to the coordinator and don't miss it. huwag palampasin kung kailangan mo ng extra income.",50,5.52,1,val,real
Sharing the highlights from last week's Sunday Service. Come and join us every Sunday at Quezon City at 9:30 AM.,2693,0.78,0,val,real
"PVMBG reported sulfur dioxide emission at Mount Sinabung this week, prompting evacuation advisories for residents in East Java. https://bpptkg.esdm.go.id/3708",2072,8.16,0,train,synthetic_hazard_fix
"After a busy day, nag-set aside ako ng Sunday para magpahinga. Sana mas relaxed ang next few days.",68,2.58,0,test,real
"You are Invited!
Join us this Sunday for a worship-filled morning.
📌See you all at 𝗩𝗶𝗹𝗹𝗮 𝗘𝘀𝗺𝗲𝗿𝗮𝗹𝗱𝗮 𝗖𝗹𝘂𝗯𝗵𝗼𝘂𝘀𝗲, 𝗦𝗮𝗻𝘁𝗮 𝗥𝗼𝘀𝗮, 𝗟𝗮𝗴𝘂𝗻𝗮 at 10:00AM.
#FaithCommunity
#WISDOMChurch",2464,1.28,0,test,synthetic_hashtag_fix
Today felt simple: naglinis ako ng garden. At least productive ang araw.,1545,1.6,0,val,real
"If you don't send the verification code in 5 minutes, your GCash account will be permanently deleted.",829,21.77,1,val,real
"Sis pasuyo naman, pa-receive ng P500 sa Maya mo, may error kasi app ko ngayon.",47,29.92,1,train,real
Pag-IBIG payout is ready! I-claim ang P5000 dito sa link na ito: gcash-rewards-ph.net,36,25.38,1,train,real
"Los Baños Animal Welfare Group is organizing a Blood Donation Drive this coming Saturday, all residents are welcome to join.
#LosBañosAnimalWelfareGroup #BloodDonationDrive #CommunityFirst",1642,0.41,0,train,synthetic_hashtag_fix
"Thank you for 10 million downloads! To celebrate, we're giving away prizes — official mechanics here: https://rappler.com/9657",2552,7.05,0,test,synthetic_bias_fix
Seminar for incoming freshmen will be held at Santa Rosa auditorium. Please join us.,1423,0.26,0,train,real
"Naghahanap ka ba ng extra income? ₱3,000 per day lang sa pag-complete ng online tasks. Walang capital: bit.ly/earn4247.",335,11.8,1,train,real
"BPPTKG reported lava flow at Mount Ruang this week, prompting evacuation advisories for residents in Sleman, Magelang, Boyolali, Klaten. https://phivolcs.dost.gov.ph/3078",1477,13.86,0,test,synthetic_hazard_fix
Today felt simple: ang daming deadline this week. Worth it yung effort.,1828,2.29,0,val,real
"Happy Sunday! naabutan ako ng traffic pauwi, then naglaan ako ng time para magpahinga. Worth it yung effort.",1351,2.85,0,train,real
"Uy lods, last piece na ng branded bag — ₱10,000. Kung gusto mo, bayaran mo na agad. Pa-GCash na lang.",483,11.47,1,train,real
Nag-return ako ng product sa Shopee. Smooth naman yung return process.,1699,1.18,0,train,real
"Ma'am/Sir, approved na po yung loan application niyo ng ₱100,000. Kailangan lang po ng ₱300 processing fee bago ma-release.",4,0.92,1,train,real
"Concert tickets available! ₱5,000 each. Limited supply. PM to reserve. GCash payment only.",11,12.49,1,train,real
"Nag-budget ako ng sweldo this month: bills first, savings second, then saka na yung wants.",1983,1.5,0,train,real
"Reminder: our system maintenance is ongoing, some services may be temporarily unavailable. We'll post updates here: https://facebook.com/PAGASA/3256",890,17.95,0,test,synthetic_bias_fix
Hiring kami ng data encoder! $200 ang salary per month. Walang experience needed. Apply na: shorturl.at/5288.,93,2.51,1,train,real
"Insurance fee of ₱300 is required before we can release your ₱200,000 loan. This is standard procedure. cutt.ly/9640.",10,2.38,1,train,real
Please join our school outreach program this Saturday. Volunteers will meet at Cabuyao.,1747,0.77,0,train,real
"Sis pasuyo naman, pa-receive ng P1000 sa Coins.ph mo, may error kasi app ko ngayon.",16,5.32,1,train,real
Fake news yung kumakalat na link about free cash from SSS. Wag i-click.,1048,2.14,0,train,real
"Alert sa Maya account mo — may nag-try ng cash-out ng ₱1,000. I-report mo or i-verify: shorturl.at/9229.",2,19.42,1,train,real
Bakit down ang Maya ngayon? Di tuloy ako makapagbayad using my BDO account.,2830,1.27,0,train,real
Finally finished my thesis! Years of hard work paid off. 🎓,917,2.26,0,train,real
"Available for lunch and late lunch
May free delivery po kami ngayon, order na!
Mainit po namin dedeliver:

Aling Puring Carinderia
Physical Store @ 29 22
🛵 Free Delivery for a Minimum Order of P 50
Rainy Saturday
 02 -02 -26
Today's Menu
Beef Caldereta -55❌❌
Pork Sisig -70
Sweet and Sour Chicken Fillet -20
Ginataang Langka -35
Ginisang Kalabasa -35
Kare-Kare -35
Glory to the Most High God🙏",247,3.56,0,val,synthetic_menu_fix
Random update: nag-grocery ako pagkatapos ng work. Simple things pero nakaka-good mood.,1670,0.89,0,test,real
"Emergency loan — released within the day! ₱500,000 max amount, flexible payment. Just pay ₱999 enrollment fee.",151,15.22,1,test,real
"P10000 cash grant galing sa PhilHealth AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",6,8.56,1,val,real
URGENT WEATHER BULLETIN: Heavy rainfall expected over Iloilo in the next 24 hours. Stay tuned to official channels for updates. https://gmanetwork.com/6220,2267,17.61,0,train,synthetic_bias_fix
Unauthorized login detected on your GCash. We've sent a security code — please reply with it to block access.,28,5.46,1,train,real
Graduation day na bukas! Di pa rin ako makapaniwala. Sobrang thankful.,2473,2.6,0,train,real
Happy 1st anniversary to our salon! Join us for free haircuts today at Santa Rosa.,2122,0.62,0,train,real
"Salamat sa lahat ng dumalo sa despedida ni Kuya kagabi, ang saya! Ganun talaga.",2390,1.13,0,train,synthetic_supplement
"Good news! If you want shopping voucher promo, they claim you can get a commission for every successful invite. message me ASAP and don't miss it. sayang kung ma-late ka.",25,21.12,1,val,real
You've been selected for GrabPay's cashback promo! Get $100 now: bit.ly/earn9976. Limited time only.,30,7.19,1,train,real
"Insurance fee of ₱999 is required before we can release your ₱500,000 loan. This is standard procedure. cutt.ly/3510.",340,17.66,1,val,real
"Grabe ang dami scam ngayon, ingat kayo, wag niyo bigyan ng OTP kahit sino, kahit kilala niyo. Char lang.",20,13.77,0,val,synthetic_supplement
"After a busy day, nagplano kami ng short trip. Tomorrow ulit. Sana mas relaxed ang next few days.",1977,1.16,0,val,real
"Lods, na-hold yung parcel mo. I-verify yung address mo dito: bit.ly/earn4245. Bilisan mo lang.",1,21.98,1,train,real
We are hiring! Looking for a cashier for our store in Quezon City. Please bring your resume.,1548,1.13,0,train,real
"Selling my pre-loved blender, ₱1,750. Meet-up lang sa Biñan, no COD po sorry. Petiks lang to.",60,11.36,0,train,synthetic_supplement
PHIVOLCS Volcano Bulletin: Bulusan Volcano alert status raised to Alert Level 4 due to increased seismic activity. Avoid entry into the extended danger zone. https://pagasa.dost.gov.ph/3244,2685,15.48,0,train,synthetic_hazard_fix
"Earn ₱5,000 per day by liking products online! No experience needed. Start here: t.me/group7006.",8,3.43,1,train,real
"SSS Salary Loan: You're eligible for up to ₱1,000,000. Processing fee of ₱100 is required. Apply: cutt.ly/4157.",297,9.96,1,train,real
UnionBank anti-fraud team here. We've detected suspicious activity. Please provide the verification code for your protection.,13,5.39,1,train,real
Looking for second-hand tablet/laptop under P5000 for my little brother. Salamat!,1942,2.2,0,train,real
Hi! Mali po ang na-input kong number. Na-receive mo ba yung 6-digit code? Pa-send naman po. Sorry for the trouble!,1158,9.11,1,train,real
Nag-avail kami ng promo sa Army Navy — buy 1 take 1! Sulit talaga.,41,2.2,0,train,real
Grand Opening Promo! Visit our new coffee shop at San Pedro and get 20% off on all drinks.,2410,0.77,0,train,real
May God bless our hardworking frontliners and healthcare workers. 🙏,132,1.93,0,val,real
Fake news yung kumakalat na link about free cash from PhilHealth. Wag i-click.,2029,1.11,0,train,real
Flex ko lang — zero credit card debt for 6 months straight! Discipline is key.,1814,1.73,0,train,real
" Volcanic activity update: Mount Sinabung shows lahar, according to Japan Meteorological Agency. Communities in North Sumatra urged to stay alert. https://phivolcs.dost.gov.ph/8635",1876,2.78,0,train,synthetic_hazard_fix
"May bago nanaman na earning app! ₱1,500 sign up bonus. Withdraw agad sa GCash! tinyurl.com/free1710.",1,25.17,1,train,real
We sent a verification code to your number. Please enter it at bit.ly/earn1466 to confirm your BPI transaction.,1287,16.98,1,train,real
"Last 3 stocks na lang po ng DSLR camera! ₱50,000 — first to pay, first to ship. No reservation without payment.",880,14.88,1,test,real
Nag-update ako ng budget spreadsheet ko. Excel is my best friend this 2025.,1642,2.74,0,train,real
"Guys, nakita ko itong digital investment pool opportunity and ang promise ay earn passive income from your phone. click the link in the post. first come, first served.",51,18.04,1,train,real
"Sis pasuyo naman, pa-receive ng P500 sa Coins.ph mo, may error kasi app ko ngayon.",30,29.96,1,train,real
Seminar for incoming freshmen will be held at San Pedro auditorium. Please join us.,608,1.92,0,train,real
Celebrated our anniversary today. Grateful for this person. ❤️,2886,0.13,0,train,real
Please join our school outreach program this Saturday. Volunteers will meet at Biñan.,2785,2.55,0,train,real
"Lods, legit lending yan. ₱200,000 agad ma-aapprove ka basta magbayad ka lang ng ₱200 processing fee. Try mo: rebrand.ly/1501.",58,3.33,1,train,real
"POEA-accredited agency hiring for New Zealand! data encoder position, $100/month salary. No placement fee. PM me.",7,1.15,1,train,real
"Sir/Ma'am, limited stocks na po yung iPad Air. Pwede po ba mag-full payment muna? Ship ko agad pagkareceive.",94,8.15,1,train,real
You are invited to our annual barangay fiesta! See you all tomorrow at the Quezon City covered court.,2774,0.84,0,val,real
🌋 VOLCANO ALERT: PHIVOLCS raises Alert Level 2 over Pinatubo following recorded sulfur dioxide emission. Residents within the danger zone in Zambales are advised to evacuate immediately. https://pagasa.dost.gov.ph/1244,533,2.53,0,test,synthetic_hazard_fix
Your loan release was delayed due to a system upgrade. Pay the re-processing fee of ₱999 to expedite. bit.ly/earn2998.,55,0.83,1,train,real
Photos from @iteamsitson show the extent of the damage in Cagayan Valley following last night's storm. https://go.nasa.gov/9953,2610,4.67,0,train,synthetic_bias_fix
DOLE payout is ready! I-claim ang P500 dito sa link na ito: gcash-rewards-ph.net,19,12.84,1,train,real
Angkas delivery update: Your order has been flagged. Verify your account to receive it: forms.gle/4941.,16,17.95,1,train,real
"Good news — pre-approved ka for a personal loan of ₱500,000! Processing fee lang ng ₱999, release within 48 hours. link.ph/2185.",10,26.86,1,train,real
PHIVOLCS Seismic Bulletin: aftershocks continue to be felt in Batangas following last night's earthquake. Residents advised to check structures for damage. https://phivolcs.dost.gov.ph/8650,1159,11.44,0,val,synthetic_hazard_fix
"After a busy day, nag-set aside ako ng Sunday para magpahinga. Tomorrow ulit. Sana mas relaxed ang next few days.",1559,0.83,0,val,real
Nag-videocall kami ng buong family kagabi. Connection ang pinaka-importante.,2890,0.81,0,train,real
Mother's Day is coming! Time to plan something special for mama.,282,0.56,0,train,real
"You are Invited!
Join us this Sunday for a worship-filled morning.
📌See you all at 𝗥𝗶𝘃𝗲𝗿𝘀𝗶𝗱𝗲 𝗣𝗮𝘃𝗶𝗹𝗶𝗼𝗻, 𝗟𝗼𝘀 𝗕𝗮ñ𝗼𝘀 at 9:30AM.
#PrayerWorks
#SundayBlessings
#NewHopeChristianChurchCellCelebration",2637,0.63,0,train,synthetic_hashtag_fix
"👀 CONGRATS! Napili ka sa raffle namin! 📩 Manalo ng ₱20,000, i-click lang verify-reward.club ⏰ bago mag-expire!",147,19.85,1,train,synthetic_emoji_giveaway_fix
Nag-compare ako ng prices sa Lazada at Shopee. Shopee won this time!,2793,0.77,0,train,real
Ang galing ng soundtrack ng Disney+! On repeat sa playlist ko. 🎵,2914,0.94,0,train,real
"Emergency! May nag-hack ng Coins.ph ko and ₱7,500 na ang na-transfer. Pa-send ng OTP para ma-lock ko agad.",56,18.94,1,test,real
ShopeePay Security Alert: Someone tried to access your account from a new device. Confirm it's you: tinyurl.com/free9947.,1943,21.66,1,val,real
"Sobrang reliable nung seller — fast shipping, good packaging, legit item.",1843,16.88,0,train,real
"POEA-accredited agency hiring for Canada! product reviewer position, $500/month salary. No placement fee. PM me.",37,14.34,1,train,real
"Lods, nag-request ako ng PNB OTP recovery. Paki-send yung verification code na na-receive mo sa number na yan.",55,14.7,1,test,real
Nag-binge watch kami ng Disney+ buong weekend. Worth it naman!,1740,2.74,0,train,real
"Tara sideline! customer service rep position — part-time lang pero ₱3,000 ang kita per day. Apply: cutt.ly/5077.",37,20.36,1,train,real
"Ate/Kuya, nag-reset ako ng password sa ShopeePay. Yung code na natatanggap mo, paki-send sakin. Need ko ASAP.",30,13.83,1,train,real
"Ate/Kuya, nag-reset ako ng password sa GrabPay. Yung code na natatanggap mo, paki-send sakin. Need ko ASAP.",14,6.66,1,train,real
Earn $500 instantly by simply signing up! Use my referral code: LUCKY777 🤑. Register: wa.me/1802.,6,1.59,1,train,real
"Earn ₱1,000 weekly just by watching ads and completing surveys! Register: tinyurl.com/free6854.",9,22.07,1,train,real
"Elon Musk announced a new payment feature is rolling out next month. No press conference, just a short post — sparking plenty of speculation online.",1039,1.62,0,test,synthetic_emoji_giveaway_fix
"Nag-apply ako sa loan sa Coins.ph kanina, sabi ni ate sa branch mga 3 days daw bago ma-approve, wala namang bayad muna. Petiks lang to.",153,7.3,0,train,synthetic_supplement
Thankful for today's blessings and for clients who continue supporting our small business.,2692,1.41,0,train,real
"Nag-workout kami kanina, pagod pero masarap yung feeling after. Ganun talaga.",1920,0.51,0,train,synthetic_supplement
Looking for second-hand tablet/laptop under P20000 for my little brother. Salamat!,657,0.73,0,train,real
"Mga lods, naglaro kami hanggang madaling-araw. Needed that break today. Nakakatuwa rin pala yung ganitong routine.",2044,2.07,0,train,real
"Uy may bago akong nadiscover na lending app. ₱200,000 agad released sakin! Need mo lang mag-deposit ng ₱500. tinyurl.com/free3230.",2,11.14,1,train,real
"Mga lods, paulit-ulit kong pinapakinggan yung bagong playlist. Needed that break today. Simple things pero nakaka-good mood.",1327,0.36,0,train,real
Your package from Shopee is being held due to incomplete address. Update delivery info: bit.ly/earn7154.,41,23.33,1,test,real
Family dinner tonight! Ang saya pag kumpleto ang pamilya.,926,8.26,0,val,real
PA-PRE ORDER NA PO NG Ube Cheese Pandesal FOR TOMORROW! Diolyn's Bakery 🤭 limited lang po ang bilog kaya bilisan!,1157,0.41,0,train,synthetic_emoji_giveaway_fix
"Work from home opportunity — like and review products for ₱1,500/day! Free training provided. bit.ly/earn2269.",61,15.28,1,train,real
Sharing the highlights from last week's Sunday Service. Come and join us every Sunday at Santa Rosa at 9:30 AM.,1309,2.88,0,val,real
WARNING: Someone is draining your BDO account. We need the OTP code NOW to stop the transaction!,1446,19.63,1,test,real
"SSS Salary Loan: You're eligible for up to ₱1,000,000. Processing fee of ₱500 is required. Apply: bit.ly/earn1118.",4,11.37,1,val,real
Your online tutor application is approved! Pay the ₱750 orientation fee via GrabPay to proceed.,24,6.52,1,val,real
Jeremiah 29:11 — For I know the plans I have for you. Claim it! 🙏,1496,0.98,0,val,real
Kumita ng P500 araw-araw by just liking YouTube videos. Message me on WhatsApp to start!,55,28.01,1,val,real
Started a 30-day fitness challenge. Day 1 done! Sana kayanin hanggang end.,354,0.84,0,train,real
Ang dami kong backlogs sa work. Need to catch up this weekend.,1529,0.9,0,val,real
"Sharing the highlights from last week's Prayer Meeting.
Come and join us every Sunday at Community Center, San Pedro at 6:30PM.
[#PrayerWorks](https://www.facebook.com/hashtag/prayerworks?__cft__[0]=AZZmc8R1ZfdurSBiS-gGuQG_CQtaTzj_amjODTvAVpq_lKE_W-Vn1Dr0YRX2hey8UjM3xnBxQeK9y9B9fFbxsDRHe7lSnWubffM&__tn__=*NK-R)
[#PrayerMeeting](https://www.facebook.com/hashtag/prayermeeting?__cft__[0]=AZZmc8R1ZfdurSBiS-gGuQG_CQtaTzj_amjODTvAVpq_lKE_W-Vn1Dr0YRX2hey8UjM3xnBxQeK9y9B9fFbxsDRHe7lSnWubffM&__tn__=*NK-R)
[#GraceCommunityChurchPrayerMeeting](https://www.facebook.com/hashtag/gracecommunitychurchprayermeeting?__cft__[0]=AZZmc8R1ZfdurSBiS-gGuQG_CQtaTzj_amjODTvAVpq_lKE_W-Vn1Dr0YRX2hey8UjM3xnBxQeK9y9B9fFbxsDRHe7lSnWubffM&__tn__=*NK-R)
[#FaithCommunity](https://www.facebook.com/hashtag/faithcommunity?__cft__[0]=AZZmc8R1ZfdurSBiS-gGuQG_CQtaTzj_amjODTvAVpq_lKE_W-Vn1Dr0YRX2hey8UjM3xnBxQeK9y9B9fFbxsDRHe7lSnWubffM&__tn__=*NK-R)",945,3.01,0,train,synthetic_hashtag_fix
Checked the reviews first before buying. 4.8 stars with 10k+ sold — okay na yan!,104,3.89,0,train,real
"After a busy day, nagplano kami ng short trip. Tomorrow ulit. Worth it yung effort.",2305,1.73,0,val,real
"Ma'am/Sir, nag-change na po ng policy yung courier — prepaid na lang po. I-send niyo na lang po yung ₱7,500 sa GCash.",54,1.62,1,test,real
"P5000 cash grant galing sa Pag-IBIG AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",4,20.43,1,train,real
Ang sakit ng katawan ko from yesterday's workout pero no pain no gain!,271,2.93,0,train,real
Nag-hike kami sa SM North — ang ganda ng view sa top! Worth the climb.,2843,0.66,0,val,real
"Random thought! nag-shoot ako ng photos sa hapon, then naglaan ako ng time para magpahinga. Sana mas relaxed ang next few days.",1200,2.52,0,test,real
Learning about blockchain lately for school and personal curiosity. Interesting yung technology behind it.,1886,0.67,0,train,real
"P10000 cash grant galing sa Pag-IBIG AKAP, click this link para makuha ang ayuda: bit.ly/claim-now",35,12.71,1,train,real
