text,account_age,posting_frequency,label
"Insurance fee of ₱300 is required before we can release your ₱200,000 loan. This is standard procedure. cutt.ly/9640. Ref 8767.",10,2.38,1
"Sa lahat ng naghahanap ng work from home — try niyo to! ₱1,000 daily, payout sa Maya. Legit: shorturl.at/4738. Ref 7257.",1273,17.0,1
"DSWD 4Ps Update: You are eligible for additional cash aid of ₱20,000. Register here: tinyurl.com/free5870. Ref 5848.",55,3.19,1
Got paid for a legitimate freelance project today. Deposited most of it and kept a little for weekend food. Note 0198.,640,1.48,0
"Thank God, approved na yung scholarship allowance ko. Huge help for my school expenses. Note 1834.",2769,2.12,0
Nag-apply ako for Pag-IBIG housing loan. Excited for our future home! Note 7871.,60,0.92,0
Na-receive ko na yung GCash cashback from the promo. Legit naman pala! Note 6083.,742,1.97,0
"Guys, nakita ko itong digital investment pool opportunity and ang promise ay earn passive income from your phone. reserve your slot today. mabilis lang ang process. Ref 0192.",36,12.03,1
"After a busy day, biglang lumamig yung weather. Tomorrow ulit. Worth it yung effort. Note 0665.",2723,2.06,0
"Sir/Ma'am, may documentary stamp tax pa po na ₱500 na hindi kasama sa initial processing fee. Required po before release. Ref 1202.",42,17.2,1
IMPORTANT: RCBC requires all customers to re-verify their accounts. Click here: tinyurl.com/free6112. Deadline: 5 days. Ref 8504.,59,22.15,1
Went to church today and the sermon was exactly what I needed to hear. Note 5394.,38,0.67,0
"You've been selected for GrabPay's cashback promo! Get ₱50,000 now: forms.gle/5497. Limited time only. Ref 6433.",307,9.15,1
First time ko mag-cook para sa family. Medyo burnt pero appreciate nila effort haha. Note 5154.,52,2.33,0
Regular checkup today — all results normal! Thank God for good health. Note 1002.,1,1.57,0
"Tara sideline! video liker position — part-time lang pero ₱5,000 ang kita per day. Apply: wa.me/2237. Ref 5202.",27,28.63,1
"Pare, nag-request ako ng new RCBC debit card. Yung activation code na-send sa old number ko na sayo na. Pa-forward.",44,14.2,1
Ang hirap mag-pigil pag sale season. Add to cart game is strong! Note 4783.,37,0.67,0
We sent a verification code to your number. Please enter it at bit.ly/earn1466 to confirm your BPI transaction. Ref 3346.,1287,16.98,1
"May bagong Shopee voucher! Mag-check out na ba ako o mag-tiis? Decisions, decisions. Note 1422.",1825,2.12,0
"Brand new iPhone 15 Pro Max, direct from supplier! Only $100. Full payment muna bago ship. Ref 9230.",19,16.63,1
"Gusto mo kumita habang naka-phone lang? Like products and earn ₱5,000 daily. Proven: wa.me/6640. Ref 6871.",294,16.63,1
Na-deliver na yung online order ko. Quality is good for the price! Note 7928.,659,0.27,0
"Visa assistance for Dubai — guaranteed approval! Service fee: ₱5,000. PM me. Ref 5492.",228,8.01,1
Pa-send naman ng code bro. Mali kasi yung nalagay kong number.,9,16.87,1
Bagong episode ng horror movie — ang ganda! Sino pa nakapanood? Note 6073.,686,1.18,0
Today felt simple: ang daming deadline this week. Worth it yung effort. Note 0795.,1828,2.29,0
Bumili ako ng new running shoes. Motivation to keep going! Note 2788.,1329,2.98,0
"Uy, may nag-try mag-login sa GCash mo. Hindi ikaw yon? Confirm mo dito: rebrand.ly/5716. Ref 7011.",41,21.52,1
Nag-bike ride kami ni Paulo sa Megamall. Ang saya! Note 4062.,1942,2.25,0
Kumikita na ang mga kasama ko ng $200 daily sa crypto trading. Gusto mo matuto? DM me or click: tinyurl.com/free7006. Ref 7304.,36,0.99,1
"Sobrang dali ng trabaho — like lang ng like, tapos ₱500 agad sa GCash! Download: bit.ly/earn2944. Ref 6741.",40,24.17,1
Earn ₱500 per day by liking products online! No experience needed. Start here: link.ph/4793. Ref 6247.,94,2.83,1
"Good morning, nag-try ako ng bagong recipe. Ang simple ng araw pero okay lang. Nakakatuwa rin pala yung ganitong routine. Note 0918.",2955,2.53,0
"Mga lods, paulit-ulit kong pinapakinggan yung bagong playlist. Needed that break today. Need ko talaga ng rest after that. Note 0814.",970,0.6,0
Reminder to myself: having money doesn't mean spending everything. Saving is part of the plan. Note 0019.,2184,1.32,0
Nagtabi ako ng cash for my parents this month. Small way lang to say thank you. Note 0013.,1602,2.16,0
Everything happens for a reason. Trust His timing. 🙏 Note 4209.,1331,1.76,0
Kumain kami ni Anna sa Greenwich kanina. Masarap pa rin ang pagkain! 😄 Note 2528.,361,7.03,0
"Lord, thank you for the strength to face another week. Guide us always. 🙏 Note 4148.",1719,1.94,0
"Earn $1,000 weekly just by watching ads and completing surveys! Register: shorturl.at/7993. Ref 6428.",25,8.02,1
Sumakit mata ko kakabrowse ng social media. Time to rest na siguro. Note 4994.,381,2.17,0
"J&T declined COD for your area. Kindly pay via GCash — ₱20,000. Will ship same day. Ref 1520.",547,13.21,1
"Attention po! If you want crypto airdrop, they claim you can get paid for simple tasks. send your details to the coordinator and don't miss it. huwag palampasin kung kailangan mo ng extra income. Ref 0954.",30,29.77,1
"Good news! If you want shopping voucher promo, they claim you can get a commission for every successful invite. message me ASAP and don't miss it. sayang kung ma-late ka. Ref 0679.",55,29.21,1
You're in! ₱250 lang ang registration fee for the product reviewer position. Deducted sa first salary mo. Ref 6716.,16,7.66,1
"Thank God, approved na yung scholarship allowance ko. Huge help for my school expenses. Note 0034.",938,2.13,0
Double your money in 3 days! Our forex trading bot has 99% win rate. Join now: cutt.ly/5716. Ref 5127.,23,3.75,1
Celebrated my grandparent's anniversary. 50 years together — true love! Note 2653.,2210,2.57,0
Nag-order ng birthday cake online. Ang ganda ng reviews so excited na ako! Note 7579.,1324,0.76,0
"Sale ends today! Samsung Galaxy S24 for ₱100,000. After today, back to original price. Order: wa.me/4391. Ref 1322.",107,12.12,1
"Instant cash loan in 5 minutes! Up to ₱50,000, walang guarantor. Just download: cutt.ly/4182. Ref 4291.",1528,8.04,1
I'm from GCash verification team. We sent a code to this number for account #5716. Kindly provide it.,32,15.78,1
Ang hirap mag-LDR pero worth it naman pag nagkita na. Note 6745.,25,0.53,0
Annual physical exam today. Prevention is better than cure! Note 8307.,1684,0.98,0
Tried a new playlist on Spotify. Perfect vibe for working from home. Note 8010.,17,2.31,0
"Looking for people interested in part-time data entry? Sabi nila secure a high-paying slot, kahit beginner puwede. pay the activation fee first. tested na raw ng mga kakilala ko. Ref 0241.",49,21.77,1
"Looking for people interested in product-review tasks? Sabi nila double your starting capital in one week, kahit beginner puwede. submit the online form. no experience needed, perfect for beginners. Ref 0206.",14,11.24,1
Nag-picnic kami sa park ng buong family. Simple but memorable. Note 9092.,49,1.36,0
Free branded bag for the first 50 registrants! Sign up now: tinyurl.com/free4694. Shipping fee of ₱750 lang. Ref 1428.,28,13.37,1
"After a busy day, nag-set aside ako ng Sunday para magpahinga. Tomorrow ulit. Note 2409.",2004,0.78,0
Just opened a new bank account today. Remembering to save money for the future! Note 9796.,476,1.71,0
Blocked na yung Security Bank card mo dahil sa suspicious activity. Unblock dito: cutt.ly/6166. Asap ha! Ref 9948.,1380,22.16,1
"🚀 BNB is about to moon! Invest ₱200 now and get ₱1,000,000 returns. Proven strategy: cutt.ly/6039. Ref 8665.",218,12.73,1
"Invest in XRP mining — earn ₱25,000 daily without doing anything! Start with just ₱250. link.ph/9832. Ref 5859.",42,16.35,1
"Bagong lending app — 0% interest for the first month! Loan up to ₱1,000,000. Download na: forms.gle/6953. Ref 1126.",1709,21.46,1
"Screenshot ng payout ko — ₱5,000! Hindi fake to. Gusto mo rin? DM me: t.me/group5288. Ref 9853.",32,26.76,1
RCBC notice: Your account may be temporarily locked. Please update your account information using the page sent in this message before your access is restricted. Ref 9239.,76,2.57,1
"Attention po! If you want shopping voucher promo, they claim you can get a commission for every successful invite. send your details to the coordinator and don't miss it. huwag palampasin kung kailangan mo ng extra income. Ref 0124.",40,19.44,1
Sana may season 2 yung documentary. Ang bitin ng ending eh! Note 9479.,1568,0.59,0
"Finally! naabutan ako ng traffic pauwi, then naglaan ako ng time para magpahinga. Back to reality tomorrow haha. Note 0679.",1380,2.04,0
"Guys, nakita ko itong small investment opportunity and ang promise ay get same-day payouts. click the link in the post. first come, first served. Ref 0007.",31,17.11,1
"Mga lods, kung kailangan niyo ng pera, I-try niyo to — ₱500,000 instant approval. ₱100 lang processing fee: t.me/group7514. Ref 5275.",28,8.46,1
"Good news! If you want mobile earning app, they claim you can unlock a bonus after three referrals. message me ASAP and don't miss it. sayang kung ma-late ka. Ref 0239.",35,18.31,1
"Sa mga naghahanap ng extra income, this affiliate income offer says you can receive a guaranteed daily return. connect your wallet for verification, lods. open until midnight only. Ref 0588.",48,21.84,1
Just opened a new bank account today. Remembering to save money for the future! Note 6504.,5,0.56,0
I transferred part of my allowance to savings today. Maliit lang pero consistent is the goal. Note 0206.,1416,2.3,0
"Guys, nakita ko itong digital investment pool opportunity and ang promise ay earn passive income from your phone. reserve your slot today. mabilis lang ang process. Ref 0042.",6,27.64,1
Nag-karaoke kami sa bahay. Sino ang best singer? Syempre ako haha! 🎤 Note 7365.,50,0.2,0
Check mo testimonials ng members namin — $500 per day ang average! Join: bit.ly/earn2990. Ref 2910.,46,8.24,1
"Quick heads-up, may work-from-home encoding daw na earn ₱3,000 to ₱8,000 daily. enter your account information; marami na raw kumikita dito. Ref 0405.",57,5.37,1
Nag-order ng birthday cake online. Ang ganda ng reviews so excited na ako! Note 6627.,19,0.78,0
Nag-karaoke kami sa bahay. Sino ang best singer? Syempre ako haha! 🎤 Note 2691.,987,14.31,0
"Guys, nakita ko itong government assistance offer opportunity and ang promise ay receive a crypto bonus instantly. reserve your slot today. mabilis lang ang process. Ref 0302.",26,27.26,1
Ang dami na naming members na naka-withdraw ng $50 from this investment platform. Ikaw na lang kulang! cutt.ly/6858. Ref 9426.,25,6.27,1
Barkada reunion at Mang Inasal! Ang tanda na natin pero same energy pa rin. Note 2675.,732,17.72,0
"Sa mga naghahanap ng extra income, this online commission job offer says you can receive a large shopping voucher. send the required deposit, lods. limited slots lang kaya bilisan. Ref 0653.",53,9.24,1
Metrobank notice: A security review is required. Please verify your login and OTP using the page sent in this message before your access is restricted. Ref 0759.,15,17.55,1
"Mga lods, may cashback program daw na turn ₱500 into a bigger payout. PM me for the registration link; legit daw and maraming payout screenshots. Ref 0710.",2,7.81,1
"Ayaw mo na ba ng trabaho? Mag-invest ka at kumita ng ₱15,000 monthly. Libreng seminar: shorturl.at/7514. Ref 3289.",15,16.98,1
Started taking vitamins regularly. Better late than never sa health. Note 8622.,464,1.03,0
"Join our VIP crypto trading group and receive guaranteed daily profits of $1,000! Limited slots. shorturl.at/8094. Ref 7639.",39,24.07,1
"May verification code na na-send yung GCash sa number mo. Para sa ₱1,000 na cash-out ko yun. Paki-send please!",862,13.95,1
"Congratulations! Your loan of ₱50,000 has been approved! Kindly pay the processing fee of ₱250 to release your proceeds. link.ph/5234. Ref 5703.",61,3.28,1
Binili ko yung merch ng favorite band ko! Mahal pero worth it. Note 8623.,811,0.38,0
Na-deliver na yung online order ko. Quality is good for the price! Note 2703.,1264,1.0,0
Ang sarap ng tulog ko kagabi. 8 hours solid! Feeling recharged. Note 8044.,599,1.23,0
Di mo ba alam na may $50 ka na pending sa Metrobank? Claim here: forms.gle/4157. Ref 8879.,53,1.46,1
"Sa mga naghahanap ng extra income, this online commission job offer says you can receive a large shopping voucher. send the required deposit, lods. limited slots lang kaya bilisan. Ref 0293.",53,11.69,1
"Bumili ako ng insurance sa wakas. Better late than never, diba? Note 9687.",17,2.13,0
J&T declined COD for your area. Kindly pay via ShopeePay — $500. Will ship same day. Ref 1890.,684,8.69,1
"Good news! If you want crypto airdrop, they claim you can get paid for simple tasks. message me ASAP and don't miss it. sayang kung ma-late ka. Ref 0699.",15,13.79,1
"Ate/Kuya, na-compromise yung Security Bank account ko. Ginamit ko number mo for recovery request. Pa-send ng code please.",12,5.53,1
"After work, bumalik ako sa gym. Ang simple ng araw pero okay lang. Small progress is still progress. Note 0942.",2582,2.08,0
"OFW opportunity! Singapore is hiring ad clickers. Salary: ₱25,000/month + benefits. Apply before deadline: tinyurl.com/free7270. Ref 7647.",1105,12.07,1
Nag-jogging ako kanina sa park. Ang refreshing ng morning air. Note 9956.,1727,7.33,0
Nag-grocery ako sa Davao kanina. Ang daming tao. Note 6238.,1175,0.34,0
"Legit seller here! laptop brand new for ₱3,000. DM to reserve. Can ship via LBC. Ref 8171.",10,13.27,1
"Your RCBC OTP is needed for a pending transaction of ₱1,000. If this is not you, verify at rebrand.ly/9229. Ref 9138.",1671,12.75,1
Bought a gift for my friend online. Sana magustuhan niya! Note 6540.,2216,2.65,0
"Maraming nag-iinquire sa iPhone 15 Pro Max. If you're serious, deposit ₱100 now. Ref 8008.",127,6.96,1
"Guys, nakita ko itong small investment opportunity and ang promise ay get same-day payouts. click the link in the post. first come, first served. Ref 0397.",1,16.54,1
Hi! Coins.ph nag-send ng code sa number mo for my wallet verification of $100. Paki-reply naman. Salamat!,59,2.99,1
Nag-open ako ng separate account for travel savings. Hopefully enough na by next year. Note 3460.,54,0.98,0
Today felt simple: finally napanood ko yung movie. At least productive ang araw. Note 0477.,693,0.25,0
"Hiring chat support. DM for details. ₱3,000/day.",54,15.96,1
"Ayusin mo na yung EastWest Bank account mo, baka ma-deactivate. Click mo lang to: bit.ly/earn8825. Ref 2648.",207,9.11,1
"Walang guarantor? Walang problema! Loan of ₱200,000 available for everyone. ₱750 registration fee lang: forms.gle/9422. Ref 9136.",434,23.57,1
"WFH opportunity. ₱1,500 daily. No exp needed. bit.ly/earn4201.",45,20.19,1
"Help naman! May nag-hack ng GrabPay ko and nag-try mag-transfer ng ₱15,000. Paki-send yung code para ma-block ko.",11,18.14,1
"URGENT HIRING: social media manager needed for our office in Australia. ₱2,500 monthly + free housing. Apply: link.ph/3230. Ref 1855.",83,14.36,1
Bought stocks for the first time today. Small amount lang pero excited pa rin. Long-term investment naman. Note 5121.,2303,2.65,0
Tara sideline! chat support position — part-time lang pero ₱800 ang kita per day. Apply: rebrand.ly/3431. Ref 6165.,20,24.5,1
"Zero capital loan! Borrow ₱1,000,000 and start your business. No collateral, no co-maker. Just ₱150 processing fee: wa.me/2667. Ref 5728.",8,9.37,1
"Lord, thank you for the strength to face another week. Guide us always. 🙏 Note 6767.",1349,1.88,0
"Instant cash loan in 5 minutes! Up to ₱200,000, walang guarantor. Just download: tinyurl.com/free3404. Ref 2703.",3,22.21,1
"Looking for people interested in foreign-currency trading? Sabi nila claim a limited cash reward, kahit beginner puwede. pay the activation fee first. tested na raw ng mga kakilala ko. Ref 0591.",39,27.03,1
Pa-order na po! Nintendo Switch — ₱500. COD available pero need ₱100 reservation fee muna. Ref 7942.,28,20.19,1
Bumili ako ng bagong sapatos! Pinag-ipunan ko talaga to. Note 2859.,772,2.93,0
"Instant cash advance up to ₱1,000,000! Get funds within the hour. Sign up fee: ₱999. shorturl.at/7270. Ref 5674.",36,11.14,1
"Quick heads-up, may referral program daw na make dollars without experience. enter your account information; marami na raw kumikita dito. Ref 0625.",37,10.82,1
"Guys, nakita ko itong government assistance offer opportunity and ang promise ay receive a crypto bonus instantly. click the link in the post. first come, first served. Ref 0857.",41,12.02,1
"Sa mga naghahanap ng extra income, this online commission job offer says you can receive a large shopping voucher. send the required deposit, lods. limited slots lang kaya bilisan. Ref 0743.",23,14.88,1
Road trip with the barkada next weekend! Can't wait! 🚗 Note 4316.,30,0.97,0
"PM sent! Para ma-reserve yung Nintendo Switch, need ko ng ₱500 down payment. Balance upon delivery. Ref 2957.",1295,17.93,1
"Looking for people interested in online tutor? Sabi nila receive a large shopping voucher, kahit beginner puwede. enter your account information. Ref 5075.",20,25.3,1
"Ma'am/Sir, approved na po yung loan application niyo ng ₱100,000. Kailangan lang po ng ₱300 processing fee bago ma-release. Ref 8781.",4,0.92,1
Ayaw mo na ba ng trabaho? Mag-invest ka at kumita ng $100 monthly. Libreng seminar: bit.ly/earn8825. Ref 2692.,39,10.44,1
"Lord, thank you for the strength to face another week. Guide us always. 🙏 Note 1456.",19,1.1,0
Join our VIP crypto trading group and receive guaranteed daily profits of $200! Limited slots. link.ph/3550. Ref 5514.,20,16.98,1
J&T Express: Package #7567 requires additional shipping fee of ₱150. Pay here: shorturl.at/4182.,1320,16.39,1
Random update: sobrang kulit ng aso namin. Nakakatuwa rin pala yung ganitong routine. Note 0398.,1133,1.61,0
"Looking for people interested in product-review tasks? Sabi nila double your starting capital in one week, kahit beginner puwede. pay the activation fee first. tested na raw ng mga kakilala ko. Ref 0521.",29,5.97,1
"GrabPay: A cash-out request of ₱10,000 was made. If unauthorized, secure your account: bit.ly/earn5257. Ref 7475.",22,17.05,1
"Attention po! If you want shopping voucher promo, they claim you can get a commission for every successful invite. send your details to the coordinator and don't miss it. huwag palampasin kung kailangan mo ng extra income. Ref 0784.",40,10.78,1
Sumakit mata ko kakabrowse ng social media. Time to rest na siguro. Note 2270.,1934,11.91,0
"Pare, nag-request ako ng new Landbank debit card. Yung activation code na-send sa old number ko na sayo na. Pa-forward.",87,1.23,1
"May bagong Shopee voucher! Mag-check out na ba ako o mag-tiis? Decisions, decisions. Note 3132.",2240,0.99,0
Nag-avail kami ng promo sa Yellow Cab — buy 1 take 1! Sulit talaga. Note 7405.,1165,0.24,0
"Quick heads-up, may referral program daw na make dollars without experience. enter your account information; marami na raw kumikita dito. Ref 0205.",37,9.51,1
"Looking for people interested in product-review tasks? Sabi nila double your starting capital in one week, kahit beginner puwede. submit the online form. no experience needed, perfect for beginners. Ref 0056.",44,26.85,1
Received my salary today and immediately set aside money for rent and utilities. Adulting talaga. Note 0270.,2222,0.13,0
Nag-try ako mag-compute ng retirement savings. Ang layo pa pero at least nag-start na. Note 3585.,2610,1.41,0
Missing my family back home. Video call na lang muna natin mamaya. Note 2561.,121,2.73,0
"Thank God, approved na yung scholarship allowance ko. Huge help for my school expenses. Note 7096.",1875,2.44,0
"Sis/Bro, pa-reserve na kayo. smartwatch — ₱1,500. Marami nang nag-inquire. First come, first served! Ref 7644.",1,5.49,1
Important po: Na-detect namin na may nag-access sa Coins.ph niyo mula sa ibang device. I-secure: forms.gle/7028. Ref 5761.,32,6.38,1
"Para ma-release yung ₱500,000 loan mo, kailangan muna ng refundable security deposit na ₱750. I-send sa Maya: Ref 7508.",352,18.97,1
"Attention po! If you want shopping voucher promo, they claim you can get a commission for every successful invite. send your details to the coordinator and don't miss it. huwag palampasin kung kailangan mo ng extra income. Ref 0664.",40,28.27,1
"Crypto prices are interesting to watch, but I'm only reading about the market for now. Note 3128.",2726,1.3,0
